job_title,job_link,label,company_name,city_name,post_time,country_name,job_type,Experience Needed:,Career Level:,Education Level:,Salary:,job_description,job_requirements,Gender:
Marketing Manager,https://wuzzuf.net/jobs/p/KPFCKOOKlZ86-Marketing-Manager-dmg-events-Aggregated-Dubai-United-Arab-Emirates,mobile app,dmg events ,Dubai,8 daysago,United Arab Emirates,Full Time,Not Specified,Not specified,Not Specified,Confidential,"Create and implement an integrated marketing campaign for the entire exhibition including exhibitor, delegate and visitor campaigns .Develop marketing plan for lead generation and engage with each team to ensure optimum marketing for each aspect of the event .Forecast and monitor entire budget, marketing timeline and media plan .Use the full marketing mix to promote the exhibition and conferences in accordance with the marketing strategy from utilising below and above the line mediums including email, direct mail, PR, fax, social media, outdoor advertising, online advertising, trade and daily advertising, SMS, website, radio, search engine marketing and TV. .Manage the clean, verification and build of the show database .Negotiate barter details with appropriate media partners and associations .Ensure show websites are fully up to date with latest information. Manage the integration of any third-party modules (e.g. floorplanner, show APP, etc.) between suppliers. .Utilise and manage digital tools (i.e. App, survey tool) to enhance campaigns. .Coordinate the design, production and mail of all marketing collateral, including sales brochures, conference brochures, visitor tickets, post-cards, top line report, post-show report, print advertisements, web banners/emails, etc. .Manage PPC campaign, with support of Digital Marketing Executive – review results and make recommendations. .Provide onsite support to ensure the smooth running of marketing related activity (i.e. registration, press office, research, placement of branding and materials; sales stand).","Job Purpose:To ensure a world class level of marketing that adopts a mix of traditional and innovative tactics and strategies that reflects the position of the events This role will be expected to engage with key stakeholders across the events within the portfolio. Events include but not limited to: Global Rail Transport Infrastructure Exhibition and Conference.Key Accountabilities:Create and implement an integrated marketing campaign for the entire exhibition including exhibitor, delegate and visitor campaignsDevelop marketing plan for lead generation and engage with each team to ensure optimum marketing for each aspect of the eventForecast and monitor entire budget, marketing timeline and media planUse the full marketing mix to promote the exhibition and conferences in accordance with the marketing strategy from utilising below and above the line mediums including email, direct mail, PR, fax, social media, outdoor advertising, online advertising, trade and daily advertising, SMS, website, radio, search engine marketing and TV.Manage the clean, verification and build of the show databaseNegotiate barter details with appropriate media partners and associationsEnsure show websites are fully up to date with latest information. Manage the integration of any third-party modules (e.g. floorplanner, show APP, etc.) between suppliers.Utilise and manage digital tools (i.e. App, survey tool) to enhance campaigns.Coordinate the design, production and mail of all marketing collateral, including sales brochures, conference brochures, visitor tickets, post-cards, top line report, post-show report, print advertisements, web banners/emails, etc.Manage PPC campaign, with support of Digital Marketing Executive – review results and make recommendations.Provide onsite support to ensure the smooth running of marketing related activity (i.e. registration, press office, research, placement of branding and materials; sales stand).Qualifications and Experience:Minimum Qualifications and Knowledge: Marketing qualification is advantageous.Minimum Experience: 3+ years in mid manager level marketing, but not strictly in event marketingJob-Specific Skills:• Strategy creation and critical path analysis• Experience in the use of databases in both mass and targeted direct marketing campaigns• Experience managing the production of mobile apps and online registration systems• People management• Website user experience• Budget management, including budgetary responsibility for decision making relating to a wide variety of potential marketing channels• Strong knowledge of MS Office Suite, including: MS Word, Outlook, and Excel• Excellent interpersonal skills and the ability to effectively communicate with and relate to all levels both within and outside the organisation• Excellent negotiation and relationship building skills• Strong attention to detail• Experience using an email service supplier (ESP) including setting up HTML & plain text emailsdmg::events is an equal opportunity employer. If you have not received feedback on your submission within 14 days, please regard it as unsuccessful for the time being.",
Senior Front End Developer with Angular,https://wuzzuf.net/jobs/p/X7kr1miMLSGe-Senior-Front-End-Developer-with-Angular-CREALOGIX-Jeddah-Saudi-Arabia,mobile app,CREALOGIX ,Jeddah,15 daysago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,Collaborate with other teams to ensure design and integration .Develop as per the guidance of your senior mentor .Resolve defects during QA testing and in post-release patches,"Company DescriptionCREALOGIX is a leading global FinTech software solutions provider working with some of the most innovative financial brands in the world.  We are dynamic and growing with over 600 employees around the world including Switzerland, Germany, Spain, the UK, the Middle East and Singapore.Some of the world’s largest banks and wealth management firms select and deploy our advanced SaaS and cloud-based technologies to meet their customers’ needs – and it’s our people who make the difference.Job DescriptionWe are looking for aAngular Software Engineer.The position is available immediately and can be accomplished from our office inRiyadh.You will be working with a skilled and talented team developing with the latest technologies and always with best practices.A few words from Oriol, our Head of Software Architecture in Barcelona:“Working at CREALOGIX is challenging for many reasons. Our focus is becoming the #1 global provider of Digital Banking Platforms, it means that we need to transform ourselves into a Product and People Company. Here’s where our Cross Teams take relevance and therefore we need to grow, Cross Teams are formed around specific technical interests like Frontend, Backend, Mobile and DevOps with the common goal of defining a single CODE base for Delivery Teams. We need people who wants to lead the change with us, who doesn’t want to reinvent the wheel but leverage on experience, standards and well-known best practices. If you are interested... Let’s talk!”Your mission:Collaborate with other teams to ensure design and integrationDevelop as per the guidance of your senior mentorResolve defects during QA testing and in post-release patchesQualificationsMinimum of +5 years of experience as Front End Developer with AngularExperienced in modern front end framework (Angular5+, bonus points for latest versions of Angular)Preferred development experience with Typescript.Experience with CSS preprocessors (LESS/Sass)Ability to write high-performance, reusable code for UI components.Some experience with modern responsive web design.Knowledge on Event API’sKnowledgeable with GitExperienced in Reactive programmingBroad knowledge of different components and tools available in the market and pros and cons of themNice to have:Linux, *nixNodeJS experienceFinancial services experienceExperience with WebpackExperience with web site/app securityNative and Hybrid programmingNgRx libraryAdditional InformationWe offer flexible annual working time models, part time as well as a hybrid approach to home office. At CREALOGIX we live a friendly culture with flat hierarchies, where people call each other by their first names. Come and join us in a supportive working environment with training and development opportunities on and off the job, a generous holiday entitlement and location-related benefits.CREALOGIX Group is proud to be an equal-opportunity employer. We are committed to equal employment opportunity regardless of origin, religion, age or gender. We support inclusion and welcome diversity as an essential source of strength in our global team. Please note that all our job descriptions are written gender neutral.Have we caught your attention?Don't hesitate and send us your application online. We are looking forward to it! Feel free to contact the local Recruiting Team if you have any questions.",
BD&P Analyst,https://wuzzuf.net/jobs/p/vb0G8jSZca3C-BDP-Analyst-Philip-Morris-International-Aggregated-Dubai-United-Arab-Emirates,mobile app,Philip Morris International ,Dubai,6 daysago,United Arab Emirates,Full Time,Not Specified,Not specified,Not Specified,Confidential,Location .Details .Contract .Department .Openings .Job ID .Related jobs,"LocationDubai, United Arab EmiratesDetailsContractFull-TimeDepartmentFinanceOpenings1Job ID56590882Share Be a part of a revolutionary change At PMI, we’ve chosen to do something incredible. We’re totally transforming our business and building our future on smoke-free products with the power to deliver a smoke-free future. With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions. Philip Morris Management Services Middle East Ltd is looking for a Business Development & Planning (BD&P) Analyst to join the team in Dubai. As a BD&P Analyst, you will be expected to provide meaningful business decision support for the assigned markets. Your ‘day to day’: • Understand PMI's consumer value proposition and the Consumer Journey tools and programs, as well as how Finance can support and add value • Prepare accurate and comprehensive analysis (volume, share and pricing) and scenario modelling for the assigned markets, ensuring all options are considered • Use a thorough, data-based approach to debate objectively, bring financial analysis and insights and help the business make the right value adding, consumer driven, commercial decisions • Build consensus and alignment across functions and projects to get things done effectively • Understand and apply PMI principles, approach and tools for project and budget management • Revise budget and long-range plan figures throughout the year to account for changes in market dynamics • Continuously monitor performance of different initiatives deployed in the markets and highlight gaps or positive results • Prepare regular and ad-hoc business reports, highlights, presentations, and strategic reviews for management and OC functions Who we’re looking for: • You have a college / university degree. MBA would be an asset. • You have at least 5 years of professional experience in business planning/profitability analysis/strategic finance/business development, preferably in FMCG environment. • You are a quick learner, an excellent problem solver, and a team player. • You have good organizational, multi-tasking, and communication skills. • You have excellent knowledge of Microsoft Excel and Microsoft Power Point. • You have excellent command in English (both written and spoken). Arabic is a plus. What we offer: Our success depends on the people who come to work every single day with a sense of purpose and an appetite for progress. Join PMI and you too can: • Seize the freedom to define your future and ours. We’ll empower you to take risks, experiment and explore. • Be part of an inclusive, diverse culture, where everyone’s contribution is respected; collaborate with some of the world’s best people and feel like you belong. • Pursue your ambitions and develop your skills with a global business – our staggering size and scale provides endless opportunities to progress. • Take pride in delivering our promise to society: to deliver a smoke-free future. To join our growing team….Related jobsOther jobs availableAlways ActiveAlways Active- give you a personalized experience for your interactions with us, for example your calls to call centers, your visits to our stores, your meetings with product coaches, and your visits to our online sites and mobile apps;- personalize our ads, content, and communications;- register your continued interest in our brands.",
Software Sales Professional,https://wuzzuf.net/jobs/p/46Q6TJcTcNHC-Software-Sales-Professional-Bydotpy-Cairo-Egypt,mobile app,Bydotpy ,New Cairo,1 monthago,Egypt,Full Time,2 to 4 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, We offer a competitive salary with an attractive commission structure.","Master the details of Bydotpy’s software solutions, with a focus on blockchain and smart-contract technologies, to successfully sell to target customers. .Identify and develop new business through strategic prospecting and relationship building. .Meet and exceed sales targets, anchoring on long-term customer relationships and strategic sales growth. .Manage the complete sales cycle, from lead generation to closure, including the creation and finalization of Purchase Order (PO). .Deliver compelling, customized presentations to various client stakeholders. .Collaborate with internal teams to ensure alignment between client needs and company offerings.","Requirements:2-3 years of proven success in software sales, particularly with experience in blockchain technology sales.Strong sales process management skills, including experience with creating and finalizing PO.Excellent communication, negotiation, and presentation abilities.Familiarity with CRM tools and sales management software.A Bachelor’s degree in Business, IT, or a related discipline.Working Conditions:On-site position at our office in the Fifth Settlement.Work hours: Sunday to Thursday, 10 AM to 6 PM.Compensation:Competitive base salary plus commission.The benefits package includes social and medical insurance.Why Bydotpy?A stimulating work atmosphere with a team passionate about technology and success.Be at the forefront of technological advancements in blockchain and smart contracts.Career growth prospects within a forward-thinking company.Bydotpy celebrates diversity and is committed to creating an inclusive environment for all employees. We are excited to welcome a new member to our team who is ready to propel our sales to new heights!",Female
Senior Full Stack Developer Angular and Java,https://wuzzuf.net/jobs/p/oBNo6tgvm2a4-Senior-Full-Stack-Developer-Angular-and-Java-TRIMETIS-Cairo-Egypt,mobile app,TRIMETIS ,Maadi,2 monthsago,Egypt,Full Time,7 to 10 years,Manager,Bachelor's Degree,Confidential,"Experience Needed: 8 to 10 years plus in Angular is a must - 3 to 4 years in Java. .we are more interested that the full-stack profile has stronger frontend(Angular)skills than backend skills(Java). .Degree in Computer Science, or a relevant field .Very Good command of English.","Proven experience as a Full Stack Developer or similar roleExperience developing desktop and mobile applicationsFamiliarity with common stacksKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), and UI/UX designExcellent communication and teamwork skillsGreat attention to detailOrganizational skillsAn analytical mindTechnical requirements:Experienced in modern front end framework (Angular5+, bonus points for latest versions of Angular)Preferred development experience with Typescript.Significant experience with CSS preprocessors (LESS/Sass)Ability to write high-performance, reusable code for UI components.In-depth experience with modern responsive web design.Knowledge of native DOM and Event APIsKnowledgeable with GitExperienced in Reactive programmingExperience in J2EE Application+3 years of experience with latest versions of Spring FrameworkKnowledge of Web Servers Apache Tomcat / WebSphereSignificant experience with Database: OraclePerform a test code with JunitExperience with JPA and HibernateKnowledge of Jenkins, Sonar and Testing/QA assuranceExperience with WebServices SOAP and RESTBroad knowledge of different components and tools available in the market and pros and cons of themNice to have:Experience in Financial servicesExperience in OWASP security measuresLinux, *nixNodeJS experienceFinancial services experienceExperience with WebpackExperience with web site/app securityNative and Hybrid programmingNgRx library",
Optician (Saudi National) RETAIL STORE OPERATIONS · Riyadh,https://wuzzuf.net/jobs/p/pBcre7YD5qu4-Optician-Saudi-National-RETAIL-STORE-OPERATIONS-·-Riyadh-Chalhoub-Group-Riyadh-Saudi-Arabia,mobile app,Chalhoub Group ,Riyadh,17 hoursago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,"See ourRETAIL STORE OPERATIONS · Riyadh, Jeddah .Optician (Saudi National) .INSPIRE | EXHILARATE | DELIGHT .What you'll be doing .What you’ll need to succeed .We Invite All Applicants to Apply .Optician (Saudi National) .Do you have experience in Optician","See ourRETAIL STORE OPERATIONS · Riyadh, JeddahOptician (Saudi National)We usually respond within a weekDiploma of Bachelor degree or equivalent Minimum of 1 year experience same filed Licensed Optician by the Saudi Commission for Health Specialties is a must. Proven experience as an Optician in a retail or optical setting. In-depth knowledge of vision correction, frame styling, lens types, and coatings. Proficiency in performing accurate measurements, including pupillary distance (PD). Strong customer service skills with the ability to establish rapport and build lasting relationships. Excellent communication skills, both verbal and written.INSPIRE | EXHILARATE | DELIGHTFor over six decades, Chalhoub Group has been a partner and creator of luxury experiences in the Middle East. The Group, in its endeavour to excel as a hybrid retailer, has reinforced its distribution and marketing services with a portfolio of eight owned brands and over 300 international brands in the luxury, beauty, fashion, and art de vivre categories. More recently, the Group expanded its expertise into new categories of luxury watches, jewellery, and eyewear.Every step at Chalhoub Group is taken with the customer at heart. Be it constantly reinventing itself or focusing on innovation to provide luxury experiences at over 750+ experiential retail stores, online and through mobile apps, each touch point leads to delighting the customer.Today, Chalhoub Group stands for 14,000 skilled and talented professionals across seven countries, whose cohesive efforts have resulted in the Group being ranked third in the Middle East and first in Saudi Arabia as a Great Place to Work®.To keep the innovation journey going, the Group has set up “The Greenhouse”, which is not just an innovation hub, but also an incubator space and accelerator for start-ups and small businesses in the region and internationally. This is just one of the several initiatives taken by the Group to reinvent itself, catalysed by forward thinking and future-proofing. The Group has also been embedding sustainability at the core of its business strategy with a clear commitment towards people, partners and the planet, and by being a member of the United Nations Global Compact Community and signatory of the Women's Empowerment Principles.What you'll be doingDeliver excellent customer service and demonstrate a high degree of professionalism Coach assistants to consistently deliver effective selling behaviours resulting in high customer engagement Examine eyes of patients of all ages in accordance with the local guidelines Issue prescriptions for spectacles or contact lenses (if available) Offer help and advice for patients choosing frames and lenses Liaise with other medical practitioners Meet sales targets with regard to selling spectacles & contact lensesWhat you’ll need to succeedWhat we can offer youWith us, you will turn your aspirations into reality. We will help shape your journey through enriching experiences, learning and development opportunities and exposure to different assignments within your role or through internal mobility. Our Group offers diverse career paths for those who are extraordinary, every day.We recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, child education contribution, remote and flexible working policies as well as exclusive employee discounts. To view all our perks and benefits,We Invite All Applicants to ApplyIt Takes Diversity Of Thought, Culture, Background, Differing Abilities and Perspectives to truly Inspire, Exhilarate and Delight our customers. At Chalhoub Group, we are committed to inclusion and diversity.We welcome all applicants to apply and be part of our exciting future. We ensure equal opportunity for all our applicants without regard to gender, age, race, religion, national origin or disability status.RETAIL STORE OPERATIONS · Riyadh, JeddahOptician (Saudi National)Do you have experience in OpticianGender* We would like to know more about our candidates. Please note that any of the information that you provide does not affect your chances of being awarded the role. If you are happy to, please provide us with the information below. This information is completely voluntary.",
Stockroom operative- The Deal - Gold Moor RETAIL & DISTRIBUTION · Jeddah,https://wuzzuf.net/jobs/p/jY7rEHUhesOr-Stockroom-operative--The-Deal---Gold-Moor-RETAIL-DISTRIBUTION-·-Jeddah-Chalhoub-Group-Aggregated-Jeddah-Saudi-Arabia,mobile app,Chalhoub Group ,Jeddah,9 daysago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,See ourRETAIL & DISTRIBUTION · Jeddah .Stockroom operative- The Deal - Gold Moor .INSPIRE | EXHILARATE | DELIGHT .What you'll be doing .What you’ll need to succeed .We Invite All Applicants to Apply .Stockroom operative- The Deal - Gold Moor,"See ourRETAIL & DISTRIBUTION · JeddahStockroom operative- The Deal - Gold MoorWe usually respond within a weekEnglish Language 1 year of experience as stock operativeINSPIRE | EXHILARATE | DELIGHTFor over six decades, Chalhoub Group has been a partner and creator of luxury experiences in the Middle East. The Group, in its endeavour to excel as a hybrid retailer, has reinforced its distribution and marketing services with a portfolio of eight owned brands and over 300 international brands in the luxury, beauty, fashion, and art de vivre categories. More recently, the Group expanded its expertise into new categories of luxury watches, jewellery, and eyewear.Every step at Chalhoub Group is taken with the customer at heart. Be it constantly reinventing itself or focusing on innovation to provide luxury experiences at over 750+ experiential retail stores, online and through mobile apps, each touch point leads to delighting the customer.Today, Chalhoub Group stands for 14,000 skilled and talented professionals across seven countries, whose cohesive efforts have resulted in the Group being ranked third in the Middle East and first in Saudi Arabia as a Great Place to Work®.To keep the innovation journey going, the Group has set up “The Greenhouse”, which is not just an innovation hub, but also an incubator space and accelerator for start-ups and small businesses in the region and internationally. This is just one of the several initiatives taken by the Group to reinvent itself, catalysed by forward thinking and future-proofing. The Group has also been embedding sustainability at the core of its business strategy with a clear commitment towards people, partners and the planet, and by being a member of the United Nations Global Compact Community and signatory of the Women's Empowerment Principles.What you'll be doingOrganizational: Follow all relevant Stock Count policies, processes and standard operating procedures so that work is carried out in a controlled and consistent manner Operational: Implement activities under close supervision Escalate complex problems to the relevant person to ensure case/issue is closed efficiently and in timely a manner Ensure that each individual item is accurately scanned Highlight all issues of concern to Supervisor during the count which may have impact on the accuracy of stock count result Cooperate with others to complete the Stock Count Scanning Ensure an accurate check/recheck of items scanned Ensure collection of scanners, cradle and all other accessories, count it before leaving the Store premised.What you’ll need to succeedWhat we can offer youWith us, you will turn your aspirations into reality. We will help shape your journey through enriching experiences, learning and development opportunities and exposure to different assignments within your role or through internal mobility. Our Group offers diverse career paths for those who are extraordinary, every day.We recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, child education contribution, remote and flexible working policies as well as exclusive employee discounts.We Invite All Applicants to ApplyIt Takes Diversity Of Thought, Culture, Background, Differing Abilities and Perspectives to truly Inspire, Exhilarate and Delight our customers. At Chalhoub Group, we are committed to inclusion and diversity.We welcome all applicants to apply and be part of our exciting future. We ensure equal opportunity for all our applicants without regard to gender, age, race, religion, national origin or disability status.Department Role Stock Room Operative Locations RETAIL & DISTRIBUTION · JeddahStockroom operative- The Deal - Gold MoorEnglish proficiency Eligible Candidates require experience in the end-to-end process of Inventory Counts/Stock takes: - Can conduct financial and style-specific stocktakes - Ability to investigate discrepancies and resolutions.Gender* We would like to know more about our candidates. Please note that any of the information that you provide does not affect your chances of being awarded the role. If you are happy to, please provide us with the information below. This information is completely voluntary.",
Senior Full Stack Developer (Angular / Java),https://wuzzuf.net/jobs/p/A43LQ0ZzBNKA-Senior-Full-Stack-Developer-Angular-Java-Cairo-Egypt,mobile app,Confidential ,Cairo,2 monthsago,Egypt,Full Time,,,,,,,
Store Manager - GUESS | Riyadh (Saudi National) RETAIL & DISTRIBUTION · Riyadh,https://wuzzuf.net/jobs/p/FOaBtRTS5gXD-Store-Manager---GUESS-Riyadh-Saudi-National-RETAIL-DISTRIBUTION-·-Riyadh-Chalhoub-Group-Riyadh-Saudi-Arabia,mobile app,Chalhoub Group ,Riyadh,17 hoursago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,"See ourRETAIL & DISTRIBUTION · Riyadh .Store Manager - GUESS | Riyadh (Saudi National) .INSPIRE | EXHILARATE | DELIGHT .What you'll be doing .""What you’ll need to succeed"" .""What we can offer you"" .We Invite All Applicants to Apply .Store Manager - GUESS | Riyadh (Saudi National)","See ourRETAIL & DISTRIBUTION · RiyadhStore Manager - GUESS | Riyadh (Saudi National)We usually respond within a weekINSPIRE | EXHILARATE | DELIGHTFor over six decades, Chalhoub Group has been a partner and creator of luxury experiences in the Middle East. The Group, in its endeavour to excel as a hybrid retailer, has reinforced its distribution and marketing services with a portfolio of eight owned brands and over 300 international brands in the luxury, beauty, fashion, and art de vivre categories. More recently, the Group expanded its expertise into new categories of luxury watches, jewellery, and eyewear.Every step at Chalhoub Group is taken with the customer at heart. Be it constantly reinventing itself or focusing on innovation to provide luxury experiences at over 750+ experiential retail stores, online and through mobile apps, each touch point leads to delighting the customer.Today, Chalhoub Group stands for 14,000 skilled and talented professionals across seven countries, whose cohesive efforts have resulted in the Group being ranked third in the Middle East and first in Saudi Arabia as a Great Place to Work®.To keep the innovation journey going, the Group has set up “The Greenhouse”, which is not just an innovation hub, but also an incubator space and accelerator for start-ups and small businesses in the region and internationally. This is just one of the several initiatives taken by the Group to reinvent itself, catalysed by forward thinking and future-proofing. The Group has also been embedding sustainability at the core of its business strategy with a clear commitment towards people, partners and the planet, and by being a member of the United Nations Global Compact Community and signatory of the Women's Empowerment Principles.What you'll be doingDrive in-store CX initiativesPlan succession of team members in terms of readinessNurture talent within team through on the job coaching and stretch assignment in coordination with the People PartnerDrive eNPS through people experience initiatives and cultureOversee day to day operations related to VM, Retail Store SOPs adherence, sales team schedules and commissionsOffer store support including concessions, real-time as per business needsAct as the key point of contact with back-office operationsEnsure click and collect are conducted within SLAsEnsure customer data is properly captured by the sales team in adherence to marketing team requirementsPromote loyalty program (MUSE) and ensure floor team knowledge about app offerings etc..Ensure store team is working towards the same goalPromote omnichannel salesIncrease the store revenue target vs actualIncrease sell-through at full priceProvide input to whats working well, whats not working well and feedback""What you’ll need to succeed""Saudi or GCC National Professional Level of English\Arabic Language is a must 5 years + in managing boutiques Strong Leadership Skills and team management Fashion Background is +""What we can offer you""With us, you will turn your aspirations into reality. We will help shape your journey through enriching experiences, learning and development opportunities and exposure to different assignments within your role or through internal mobility. Our Group offers diverse career paths for those who are extraordinary, every day.We recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, child education contribution, remote and flexible working policies as well as exclusive employee discounts. To view all our perks and benefits,We Invite All Applicants to ApplyIt Takes Diversity Of Thought, Culture, Background, Differing Abilities and Perspectives to truly Inspire, Exhilarate and Delight our customers. At Chalhoub Group, we are committed to inclusion and diversity.We welcome all applicants to apply and be part of our exciting future. We ensure equal opportunity for all our applicants without regard to gender, age, race, religion, national origin or disability status.RETAIL & DISTRIBUTION · RiyadhStore Manager - GUESS | Riyadh (Saudi National)Gender We would like to know more about our candidates. Please note that any of the information that you provide does not affect your chances of being awarded the role. If you are happy to, please provide us with the information below. This information is completely voluntary.Years of experience as a boutique store manager*",
Associate Senior Accountant- Saudi National ACCOUNTING · Jeddah,https://wuzzuf.net/jobs/p/TnhUg6ZjJujf-Associate-Senior-Accountant--Saudi-National-ACCOUNTING-·-Jeddah-Chalhoub-Group-Aggregated-Jeddah-Saudi-Arabia,mobile app,Chalhoub Group ,Jeddah,15 daysago,Saudi Arabia,Full Time,Not Specified,Not specified,Not Specified,Confidential,See ourACCOUNTING · Jeddah .Associate Senior Accountant- Saudi National .INSPIRE | EXHILARATE | DELIGHT .What you'll be doing .What we can offer you .We Invite All Applicants to Apply .Associate Senior Accountant- Saudi National,"See ourACCOUNTING · JeddahAssociate Senior Accountant- Saudi NationalWe usually respond within a weekAid accounting staff and department with day to day accounting duties. Manage ledgers and ensure accurate financial record keeping across departments Receive and process invoices and billing statements. Track payments and ensure accuracy of paid accounts, VAT returned along with tax and zakat deceleration. Assist with general accounts payable and accounts receivable duties. Contact clients and vendors as necessary to ensure accurate and on time payments. Prepare written reports for delivery to senior level managers. Utilize spreadsheets and database tools to assist in financial record keeping. A Bachelor's degree in accounting, finance or a related field may be preferred Certified Public Accountant (CPA) title may be necessary or preferred Notary Public license may be required or preferred in some cases 1-2 years of previous experience Zakat and Tax Working knowledge of Excel and other Microsoft Office Suite productivity tools Ability to quickly learn and utilize industry-specific accounting toolsINSPIRE | EXHILARATE | DELIGHTFor over six decades, Chalhoub Group has been a partner and creator of luxury experiences in the Middle East. The Group, in its endeavour to excel as a hybrid retailer, has reinforced its distribution and marketing services with a portfolio of eight owned brands and over 300 international brands in the luxury, beauty, fashion, and art de vivre categories. More recently, the Group expanded its expertise into new categories of luxury watches, jewellery, and eyewear.Every step at Chalhoub Group is taken with the customer at heart. Be it constantly reinventing itself or focusing on innovation to provide luxury experiences at over 750+ experiential retail stores, online and through mobile apps, each touch point leads to delighting the customer.Today, Chalhoub Group stands for 14,000 skilled and talented professionals across seven countries, whose cohesive efforts have resulted in the Group being ranked third in the Middle East and first in Saudi Arabia as a Great Place to Work®.To keep the innovation journey going, the Group has set up “The Greenhouse”, which is not just an innovation hub, but also an incubator space and accelerator for start-ups and small businesses in the region and internationally. This is just one of the several initiatives taken by the Group to reinvent itself, catalysed by forward thinking and future-proofing. The Group has also been embedding sustainability at the core of its business strategy with a clear commitment towards people, partners and the planet, and by being a member of the United Nations Global Compact Community and signatory of the Women's Empowerment Principles.What you'll be doingWhat you’ll need to succeedWhat we can offer youWith us, you will turn your aspirations into reality. We will help shape your journey through enriching experiences, learning and development opportunities and exposure to different assignments within your role or through internal mobility. Our Group offers diverse career paths for those who are extraordinary, every day.We recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, child education contribution, remote and flexible working policies as well as exclusive employee discounts.We Invite All Applicants to ApplyIt Takes Diversity Of Thought, Culture, Background, Differing Abilities and Perspectives to truly Inspire, Exhilarate and Delight our customers. At Chalhoub Group, we are committed to inclusion and diversity.We welcome all applicants to apply and be part of our exciting future. We ensure equal opportunity for all our applicants without regard to gender, age, race, religion, national origin or disability status.Department Role Senior Accountant - Tax Locations ACCOUNTING · JeddahAssociate Senior Accountant- Saudi NationalGender We would like to know more about our candidates. Please note that any of the information that you provide does not affect your chances of being awarded the role. If you are happy to, please provide us with the information below. This information is completely voluntary.*",
